Food_Item_ID,foodcode,modcode,foodname,portionwgt,Portion_Factor,portiondesc,_203 Protein (g),_204 Total Fat (g),_205 Carbohydrate (g),"_269 Sugars, total (g)","_291 Fiber, total dietary (g)","_606 Fatty acids, total saturated (g)",_301 Calcium (mg),_307 Sodium (mg)
1,11111000,000000,"Milk, whole",244.00,2.44,cup,7.69,7.93,11.71,12.32,0.00,4.55,275.71,104.92
3,11111150,000000,"Milk, whole, calcium fortified",247.00,2.47,cup,7.78,8.03,11.86,12.47,0.00,4.61,279.11,106.21
6,11112110,000000,2% milk,244.00,2.44,cup,8.05,4.83,11.71,12.35,0.00,3.07,292.79,114.68
7,11112120,000000,1% acidophilus milk,242.00,2.42,cup,8.16,2.35,12.08,12.58,0.00,1.53,302.49,106.48
8,11112130,000000,2% acidophilus milk,245.00,2.45,cup,8.08,4.85,11.76,12.40,0.00,3.08,294.00,115.15
10,11113000,000000,Fat free milk ,245.00,2.45,cup,8.26,0.20,12.15,12.47,0.00,0.14,298.90,102.90
11,11114300,000000,"1% milk, lactose-free (Lactaid)",246.00,2.46,cup,8.29,2.39,12.27,12.79,0.00,1.56,307.49,108.24
12,11114310,000000,"1% milk, lactose-free (Lactaid), calcium-fortified",247.00,2.47,cup,8.32,2.40,12.33,12.84,0.00,1.56,308.75,108.68
13,11114320,000000,"Fat free milk, lactose-free",245.00,2.45,cup,8.26,0.20,12.15,12.47,0.00,0.14,298.90,102.90
14,11114321,000000,"Fat free milk, lactose-free, calcium fortified",247.00,2.47,cup,8.40,0.44,11.98,11.98,0.00,0.29,503.88,128.44
15,11114330,000000,"2% milk, lactose-free (Lactaid)",244.00,2.44,cup,8.05,4.83,11.71,12.35,0.00,3.07,292.79,114.68
16,11114350,000000,"Lactaid milk, whole milk",244.00,2.44,cup,7.69,7.93,11.71,12.32,0.00,4.55,275.71,104.92
17,11115000,000000,"Buttermilk, fat free (skim)",245.00,2.45,cup,8.11,2.16,11.74,11.74,0.00,1.34,284.20,465.50
18,11115100,000000,1% buttermilk,245.00,2.45,cup,8.11,2.16,11.74,11.74,0.00,1.34,284.20,465.50
19,11115200,000000,2% buttermilk,245.00,2.45,cup,10.04,4.90,12.98,12.98,0.00,3.04,350.35,257.25
20,11116000,000000,Goat's milk ,244.00,2.44,cup,8.69,10.10,10.86,10.86,0.00,6.51,326.95,122.00
21,11121100,000000,"Milk, dry, whole, reconstituted",244.00,2.44,cup,7.91,8.03,11.54,11.54,0.00,5.03,280.59,119.56
23,11121300,000000,"Milk, dry, fat free, reconstituted",245.00,2.45,cup,7.99,0.17,11.88,11.88,0.00,0.11,286.65,134.75
24,11122000,000000,"Buttermilk, dry, reconstituted",245.00,2.45,cup,8.23,1.40,11.76,11.76,0.00,0.86,291.55,132.30
25,11211050,000000,"Evaporated milk, whole",252.00,2.52,cup,17.16,19.05,25.30,25.30,0.00,11.57,657.72,267.12
26,11211400,000000,"Evaporated milk, reduced fat (2%)",252.00,2.52,cup,18.70,4.94,28.10,28.10,0.00,3.06,718.20,284.76
27,11212050,000000,"Evaporated milk, fat free (skim) ",256.00,2.56,cup,19.33,0.51,29.06,29.06,0.00,0.31,742.40,294.40
28,11220000,000000,Condensed milk ,306.00,3.06,cup,24.20,26.62,166.46,166.46,0.00,16.79,869.04,388.62
29,11320000,000000,"Milk, soy (soy beverage)",245.00,2.45,cup,6.44,3.63,12.23,8.99,0.49,0.50,289.10,115.15
