foodname,portiondesc,Protein,Total Fat,Carbohydrate,Total Sugar,Dietary Fiber,Saturated Fat,Calcium,Sodium
"Milk, whole",cup,7.69,7.93,11.71,12.32,0.00,4.55,275.71,104.92
"Milk, whole, calcium fortified",cup,7.78,8.03,11.86,12.47,0.00,4.61,279.11,106.21
2% milk,cup,8.05,4.83,11.71,12.35,0.00,3.07,292.79,114.68
1% acidophilus milk,cup,8.16,2.35,12.08,12.58,0.00,1.53,302.49,106.48
2% acidophilus milk,cup,8.08,4.85,11.76,12.40,0.00,3.08,294.00,115.15
Fat free milk ,cup,8.26,0.20,12.15,12.47,0.00,0.14,298.90,102.90
"1% milk, lactose-free (Lactaid)",cup,8.29,2.39,12.27,12.79,0.00,1.56,307.49,108.24
"1% milk, lactose-free (Lactaid), calcium-fortified",cup,8.32,2.40,12.33,12.84,0.00,1.56,308.75,108.68
"Fat free milk, lactose-free",cup,8.26,0.20,12.15,12.47,0.00,0.14,298.90,102.90
"Fat free milk, lactose-free, calcium fortified",cup,8.40,0.44,11.98,11.98,0.00,0.29,503.88,128.44
"2% milk, lactose-free (Lactaid)",cup,8.05,4.83,11.71,12.35,0.00,3.07,292.79,114.68
"Lactaid milk, whole milk",cup,7.69,7.93,11.71,12.32,0.00,4.55,275.71,104.92
"Buttermilk, fat free (skim)",cup,8.11,2.16,11.74,11.74,0.00,1.34,284.20,465.50
1% buttermilk,cup,8.11,2.16,11.74,11.74,0.00,1.34,284.20,465.50
2% buttermilk,cup,10.04,4.90,12.98,12.98,0.00,3.04,350.35,257.25
Goat's milk ,cup,8.69,10.10,10.86,10.86,0.00,6.51,326.95,122.00
"Milk, dry, whole, reconstituted",cup,7.91,8.03,11.54,11.54,0.00,5.03,280.59,119.56
"Milk, dry, fat free, reconstituted",cup,7.99,0.17,11.88,11.88,0.00,0.11,286.65,134.75
"Buttermilk, dry, reconstituted",cup,8.23,1.40,11.76,11.76,0.00,0.86,291.55,132.30
"Evaporated milk, whole",cup,17.16,19.05,25.30,25.30,0.00,11.57,657.72,267.12
"Evaporated milk, reduced fat (2%)",cup,18.70,4.94,28.10,28.10,0.00,3.06,718.20,284.76
"Evaporated milk, fat free (skim) ",cup,19.33,0.51,29.06,29.06,0.00,0.31,742.40,294.40
Condensed milk ,cup,24.20,26.62,166.46,166.46,0.00,16.79,869.04,388.62
"Milk, soy (soy beverage)",cup,6.44,3.63,12.23,8.99,0.49,0.50,289.10,115.15
Light soymilk ,cup,5.78,1.87,8.53,6.34,0.73,0.01,298.89,116.64
Chocolate soymilk ,cup,5.42,3.67,23.88,18.86,0.96,0.58,290.39,127.19
Light chocolate soymilk ,cup,5.10,1.56,20.02,17.33,1.70,0.08,298.89,111.78
"Milk, soy (soy beverage), fat free (nonfat), chocolate",cup,6.00,0.10,20.68,8.87,0.49,0.00,281.88,138.51
"Yogurt, plain, whole milk",container (8 oz),7.88,7.38,10.58,10.58,0.00,4.76,274.67,104.42
"Yogurt, plain, fat free",container (8 oz),13.01,0.41,17.43,17.43,0.00,0.26,451.73,174.79
"Yogurt, coffee, whole milk",cup,11.86,7.69,33.17,33.17,0.00,4.85,411.60,159.25
"Yogurt, coffee, whole milk",container (8 oz),10.99,7.13,30.74,30.74,0.00,4.50,381.36,147.55
"Yogurt, coffee, lowfat",cup,12.08,3.06,33.81,33.81,0.00,1.97,418.95,161.70
"Yogurt, coffee, lowfat",container (8 oz),11.19,2.84,31.33,31.33,0.00,1.83,388.17,149.82
"Yogurt, coffee, fat free",cup,10.39,0.39,40.33,40.28,0.00,0.26,372.40,149.45
"Yogurt, coffee, fat free",container (8 oz),9.62,0.36,37.36,37.32,0.00,0.24,345.04,138.47
