foodname,portiondesc
"Milk, whole",cup
"Milk, whole, calcium fortified",cup
2% milk,cup
1% acidophilus milk,cup
2% acidophilus milk,cup
Fat free milk ,cup
"1% milk, lactose-free (Lactaid)",cup
"1% milk, lactose-free (Lactaid), calcium-fortified",cup
"Fat free milk, lactose-free",cup
"Fat free milk, lactose-free, calcium fortified",cup
"2% milk, lactose-free (Lactaid)",cup
"Lactaid milk, whole milk",cup
"Buttermilk, fat free (skim)",cup
1% buttermilk,cup
2% buttermilk,cup
Goat's milk ,cup
"Milk, dry, whole, reconstituted",cup
"Milk, dry, fat free, reconstituted",cup
"Buttermilk, dry, reconstituted",cup
"Evaporated milk, whole",cup
"Evaporated milk, reduced fat (2%)",cup
"Evaporated milk, fat free (skim) ",cup
Condensed milk ,cup
"Milk, soy (soy beverage)",cup
Light soymilk ,cup
Chocolate soymilk ,cup
Light chocolate soymilk ,cup
"Milk, soy (soy beverage), fat free (nonfat), chocolate",cup
"Yogurt, plain, whole milk",container (8 oz)
"Yogurt, plain, fat free",container (8 oz)
"Yogurt, coffee, whole milk",cup
"Yogurt, coffee, whole milk",container (8 oz)
"Yogurt, coffee, lowfat",cup
"Yogurt, coffee, lowfat",container (8 oz)
"Yogurt, coffee, fat free",cup
"Yogurt, coffee, fat free",container (8 oz)
"Yogurt, coffee, light (fat free, low calorie sweetener)",cup
"Yogurt, coffee, light (fat free, low calorie sweetener)",container (8 oz)
"Chocolate yogurt, whole milk",cup
"Chocolate yogurt, whole milk",container (6 oz)
"Chocolate yogurt, whole milk",container (8 oz)
"Chocolate yogurt, fat free",6 oz container
"Yogurt, blueberry, whole milk",container (6 oz)
"Yogurt, blueberry, whole milk",container (8 oz)
"Yogurt, blueberry, lowfat",container (8 oz)
"Yogurt, blueberry, lowfat, low calorie sweetener",container (8 oz)
"Yogurt, blueberry, fat free",container (8 oz)
"Yogurt, blueberry, light (fat free, low calorie sweetener)",container (6 oz)
Fruit and low fat yogurt parfait,McDonald's parfait
"Frozen yogurt, chocolate, low fat",cup
"Frozen yogurt, other flavors, low fat",cup
"Frozen yogurt, chocolate, nonfat",cup
"Frozen yogurt, other flavors, with sorbet",Haagen-Dazs bar (2.3 fl oz)
"Frozen yogurt, other flavors, nonfat",cup
"Frozen yogurt, chocolate, nonfat, low-calorie sweetener",cup
"Frozen yogurt, other flavors, nonfat, low-calorie sweetener",cup
"Frozen yogurt, chocolate, whole milk",cup
"Frozen yogurt, other flavors, whole milk",cup
"Frozen yogurt, chocolate-coated",bar
"Frozen yogurt, carob-coated",bar
"Frozen yogurt, sandwich",sandwich
"Frozen yogurt, cone, chocolate",medium cone
"Frozen yogurt, cone, other flavors",medium cone
"Frozen yogurt, cone, other flavors, low fat",medium cone
"Frozen yogurt, cone, chocolate, low fat",medium cone
"Chocolate milk, whole",cup
"Chocolate milk, reduced fat (2%)",cup
"Chocolate milk, fat free (skim)",cup
"Chocolate milk, low fat (1%)",cup (school milk carton)
